Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2015,,,,,,ເປີເຊັນ,,35.5
2018,,,,,,ເປີເຊັນ,,33.0
2018,,,,ຕົວເມືອງ,,ເປີເຊັນ,,21.5
2018,,,,ຊົນນະບົດ,,ເປີເຊັນ,,37.2
2018,,,ຜູ້ຊາຍ,,,ເປີເຊັນ,,34.0
2018,,,ຜູ້ຍິງ,,,ເປີເຊັນ,,32.0
2018,,,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,48.0
2018,,,,,Quintile 2,ເປີເຊັນ,,40.5
2018,,,,,Quintile 3,ເປີເຊັນ,,30.0
2018,,,,,Quintile 4,ເປີເຊັນ,,22.8
2018,,,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,13.9
2012,,,,,,ເປີເຊັນ,,42.0
2018,,,,,,ເປີເຊັນ,,25.4
2018,,,,ຕົວເມືອງ,,ເປີເຊັນ,,16.8
2018,,,,ຊົນນະບົດ,,ເປີເຊັນ,,28.6
2018,,,ຜູ້ຊາຍ,,,ເປີເຊັນ,,27.7
2018,,,ຜູ້ຍິງ,,,ເປີເຊັນ,,22.8
2018,,,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,36.2
2018,,,,,Quintile 2,ເປີເຊັນ,,31.9
2018,,,,,Quintile 3,ເປີເຊັນ,,22.2
2018,,,,,Quintile 4,ເປີເຊັນ,,18.0
2018,,,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,12.3
